bairro,densidade_ego
recife,1.0
santo amaro,1.0
coelhos,1.0
ilha joana bezerra,1.0
beberibe,1.0
dois unidos,1.0
linha do tiro,1.0
engenho do meio,1.0
torroes,1.0
ibura,1.0
jordao,1.0
